classname,teacher,test,remote,homework,numofunits,when,semester,unitclass,keyword,classoutline
ネットワークセキュリティ,井上　哲也,yes,no,3,4,水曜４限・金曜４限,1,選択,暗号化・認証技術・ネットワーク攻撃対策,実際のネットワークにおけるセキュリティ問題を学ぶ．
マルチメディア処理,佐藤　正,no,yes,2,3,火曜４限・金曜４限,1,選択,画像処理・音声処理・ビデオ処理,マルチメディアデータの処理技術を学ぶ．
認知科学,山田　彩,no,yes,1,2,月曜３限・木曜３限,2,選択,認知モデル・知識表現,認知科学の基礎理論を実習を通じて学ぶ．
システム制御工学,田村　恵,yes,no,3,3,火曜３限・金曜３限,1,選択,フィードバック制御・安定性解析,システム制御の基本概念を演習を通じて学ぶ．
データベースシステム,中村　悠,no,no,3,2,火曜２限・金曜２限,1,選択,リレーショナルデータベース・SQL,データベース設計と操作を実習を通じて学ぶ．
アルゴリズム設計,山本　宏,no,no,4,3,月曜１限・金曜１限,2,選択,グラフアルゴリズム・動的計画法,アルゴリズム設計技術を演習を通じて学ぶ．
機械学習応用,井上　裕,no,yes,3,4,火曜１限・木曜２限,2,選択,サポートベクターマシン・決定木・アンサンブル学習,機械学習の応用技術を実習を通じて学ぶ．
ニューラルネットワーク,佐藤　豊,yes,no,2,3,水曜１限・木曜２限,1,選択,フィードフォワードネットワーク・誤差逆伝播法,ニューラルネットワークの基礎を学ぶ．
最適化理論,田中　恵子,no,no,2,2,火曜５限・金曜５限,2,選択,線形計画法・非線形最適化,最適化手法を基礎から学ぶ．
進化的計算,山田　明,yes,no,3,3,火曜２限・木曜２限,2,選択,遺伝的アルゴリズム・進化戦略,進化的計算手法を学ぶ．
ソフトコンピューティング,佐々木　隆,no,yes,2,2,火曜１限・金曜１限,2,選択,ファジィ論理・ニューラルネットワーク・遺伝的アルゴリズム,ソフトコンピューティングの基礎を学ぶ．
ロボティクス応用,田村　洋,no,yes,3,3,月曜４限・金曜４限,2,選択,ロボット制御・センサー技術,ロボティクスの応用技術を演習を通じて学ぶ．
パターン認識,中村　雅,no,no,2,2,水曜２限・金曜３限,2,選択,特徴抽出・分類・クラスタリング,パターン認識技術を基礎から学ぶ．
強化学習,高橋　隆,no,yes,3,3,火曜３限・木曜３限,1,選択,Q学習・SARSA・政策勾配法,強化学習の理論と応用を学ぶ．
自然言語処理応用,山本　隆,no,yes,2,3,月曜２限・金曜２限,2,選択,文法解析・機械翻訳,自然言語処理の応用技術を学ぶ．
ビジュアルコンピューティング,佐々木　拓,yes,no,3,3,水曜４限・金曜４限,1,選択,画像処理・3Dレンダリング,ビジュアルデータの処理技術を実習を通じて学ぶ．
インターネット技術,中村　光,no,yes,2,3,火曜２限・木曜３限,2,選択,インターネットプロトコル・ルーティング技術,インターネットの基礎技術を学ぶ．
